HPO编号	名称(中文)	定义(中文)
HP:0000153	嘴部异常	嘴部的异常
HP:0000154	宽嘴	两侧嘴角之间的距离大于平均值超过2个标准偏差。或嘴巴开口宽度显得增大（主观）。
HP:0000155	口腔溃疡	口腔粘膜表面局部开口受侵蚀，导致炎性坏死组织脱落。
HP:0000157	舌异常	舌头的任何异常
HP:0000158	巨舌	舌头的长度和宽度增加。
HP:0000159	唇异常	唇部的异常
HP:0000160	嘴巴狭窄	嘴巴的连合间距离低于平均值超过2个标准偏差。或者嘴巴开口的距离显得减小（主观）。
HP:0000161	正中唇裂	一种表现为有上唇中线（中）沟痕的唇裂。
HP:0000162	舌后坠	舌头向后位移到咽部，即舌头向后错位
HP:0000163	口腔异常	口腔的异常，即开口或嘴中空的部分。
HP:0000164	牙齿异常	牙齿的任何异常
HP:0000166	重度牙周炎	牙周炎程度严重
HP:0000168	牙龈异常	牙龈的任何异常
HP:0000169	牙龈纤维瘤病	牙龈出现纤维瘤
HP:0000171	小舌畸形	舌的长度和宽度减小的。
HP:0000172	悬雍垂异常	悬雍垂的异常。悬雍垂是从软腭后缘正中悬垂的小圆锥体。
HP:0000174	腭异常	腭（即口内顶部）的任何异常。
HP:0000175	腭裂	腭裂是由腭突融合失败造成的发育缺陷，表现为口腔顶（软硬腭）的分裂
HP:0000176	黏膜下硬裂腭	粘膜下硬腭裂以形成口腔顶部的骨性硬腭中间部缺损为特征。可能在触诊硬腭时检查出来。
HP:0000177	上唇异常	上唇的异常
HP:0000178	下唇异常	下唇的异常。
HP:0000179	厚下唇	下唇厚度增加，导致下唇外观突出。下唇中线唇红的高度大于平均值超过2个标准偏差。或者，从正面看下唇唇红的高度显得增加（主观）。
HP:0000180	分叶舌	舌头边缘和/或表面上产生的多个凹陷和/或凸起，形成不规则的表面轮廓。
HP:0000182	舌头运动异常	
HP:0000183	舌动困难	
HP:0000185	软腭裂	软腭（也称为软腭，或肌肉腭）的裂口，为第7周和第12周妊娠之间发生的发育缺陷的结果。软腭裂可导致咽鼓管功能异常，由此导致中耳畸形和听力困难，以及因腭咽闭合不全带来的伴有重鼻音的语言问题
HP:0000187	宽牙槽嵴	
HP:0000188	上唇短小	上唇的宽度减小
HP:0000189	上腭狭窄	上腭宽度低于平均值超过2个标准偏差（客观）或腭宽度显得减小（主观）。
HP:0000190	口腔系带异常	舌系带的异常或口腔内存在多余的系带。舌系带指连接舌头和口腔底部粘膜的小褶皱。
HP:0000191	附加口腔系带	从牙槽嵴延伸到上或下唇内表面上的额外折叠组织。
HP:0000193	双歧悬雍垂	悬雍垂分裂成两部分，最容易在尖端看到
HP:0000194	张口	
HP:0000196	下唇凹陷	下唇的唇红位置存在凹陷，通常在接近正中。
HP:0000197	腮腺异常	腮腺的任何异常。腮腺是位于面部覆盖下颌支皮下组织的唾液腺，在外耳的前下方。
HP:0000198	无腮腺导管	
HP:0000199	舌结节	舌头表面或内部结节。
HP:0000200	舌系带过短	异常短小的舌系带
HP:0000201	皮埃尔 - 罗宾序列	皮埃尔·罗宾畸形的特点是小下颌（下颌发育不全），舌下垂和腭裂的发育畸形序列。
HP:0000202	口裂	口腔中有裂口，有唇裂和腭裂两种主要类型。唇裂指上颌和正中鼻突的先天性融合失败而形成在唇部的凹槽或裂缝。腭裂指腭先天性未能正确融合而在口腔顶部形成带槽凹陷或裂缝。唇颚裂可单独或合并发生。最好是每个缺陷分别编码。
HP:0000204	上唇裂	上唇的间隙。这是胚胎发育过程中唇组织非融合造成的先天性缺陷。
HP:0000205	钱包状嘴唇	由于嘴唇收缩导致唇周皮肤呈放射状的一种面部畸形。
HP:0000206	舌炎	舌头发炎。
HP:0000207	三角嘴	嘴呈三角形。
HP:0000211	牙关紧闭	张口能力受限。
HP:0000212	牙龈增生	牙龈增生即覆盖在牙槽嵴上的软组织变厚。增厚范围从仅包括齿间乳头，到牙龈增生覆盖整个牙冠。
HP:0000214	唇部毛细血管扩张	唇部的毛细血管扩张（即存在小的、扩张的浅表血管）。
HP:0000215	厚上唇	上唇中线唇红的高度大于平均值超过2个标准偏差。或者，从正面看下唇唇红的高度显得增加（主观）。
HP:0000216	宽恒牙槽嵴	
HP:0000217	口腔干燥	因唾液腺功能障碍导致的口腔黏膜干燥。
HP:0000218	高腭	腭高大于平均值超过2个标准偏差（客观）或腭高在第一恒大臼齿处的水平高度超过该牙齿的高度的两倍（主观）。
HP:0000219	薄上唇	上唇中线唇红的高度小于平均值超过2个标准偏差。或者，从正面看上唇唇红的高度显得变短（主观）。
HP:0000220	腭咽闭合不全	腭咽括约肌功能下降，言语时不能把鼻腔与口腔分开。
HP:0000221	沟裂舌	舌头背侧表面上的凹槽加深。
HP:0000222	牙龈角化过度	牙龈发生过度角化
HP:0000223	味觉异常	
HP:0000224	味觉降低	
HP:0000225	牙龈出血	影响牙龈的出血
HP:0000227	舌毛细血管扩张	舌毛细血管扩张，即舌体浅表血管扩张
HP:0000228	口腔毛细管扩张	口腔中有毛细管扩张。
HP:0000230	牙龈炎	牙龈发炎
HP:0000232	下唇唇红外翻	下唇异常外翻，即从正面可见下唇唇红的内部（通常与牙齿相对）。
HP:0000233	薄嘴唇	上唇唇红区皮肤显得变窄
HP:0000234	头部异常	头部的异常
HP:0000235	囟门和颅缝的异常	囟门（在出生两年内骨化的由厚膜覆盖的区域）和颅缝（颅骨之间由韧带和纤维性关节构成的结缔组织相连形成的缝隙）的任何异常
HP:0000236	前囟异常	前囟的任何异常。前囟即颅囟是位于冠状面和矢状缝线的交点的囟门。
HP:0000237	小前囟	前囟大小比同龄正常范围异常小
HP:0000238	脑积水	脑积水是从脑脊液产生到吸收至体循环通路异常导致的脑室系统主动扩张。
HP:0000239	大囟门	在新生儿中，两块额骨、两块顶骨和一块枕骨由纤维缝合线连接，形成一个小的后囟和一个较大的菱形前囟。这些区域允许头颅通过产道和以后的增长。囟门逐渐骨化，后囟通常在出生后八周，前囟在出生后9?16个月的年龄闭合。如果囟门比年龄相符的正常值大，则被诊断为大囟门。
HP:0000240	头骨的大小异常	头骨大小的任何异常。
HP:0000242	顶骨隆起	顶骨隆起是指在顶骨区明显突出。
HP:0000243	三角头畸形	头颅呈三角形或三角锥形，尖位于额部中线，底位于两侧枕骨连线。
HP:0000244	短尖头畸形	
HP:0000245	鼻窦异常	鼻旁鼻（颅）窦的异常。鼻窦是充满空气的空间，位于头骨和面部的骨头内部与鼻腔相通，包括上颌窦，额窦，筛窦，和蝶窦。
HP:0000246	鼻窦炎	由于病毒、细菌、真菌感染，过敏或自身免疫反应等原因所造成的鼻窦的炎症。（FMA:59679）
HP:0000248	短头畸形	头骨形状的异常，其特征为前后直径减小。也就是说，头指数大于81％。或者说，头部的前后尺寸（长度）相比宽度显得缩短。
HP:0000250	颅骨密度过高	组成颅骨骨骼密度的异常增加。
HP:0000252	小头畸形	"枕额（头）围（OFC）比年龄匹配的正常标准少3个标准差还小(参见Ross JJ, Frias JL 1977,  PMID:9683597)。或者头盖骨尺寸减小。"
HP:0000253	渐进性小头畸形	渐进性小头畸形的诊断在头围逐渐落后于同年龄和同性别的正常值时作出。
HP:0000255	急性鼻窦炎	急性鼻窦炎
HP:0000256	大头畸形	枕额（头）周长大于年龄和性别相匹配的正常值的第97百分位数。或者头盖骨尺寸显得增大。
HP:0000260	前囟增宽	前囟增大，（FMA:75439）考虑到年龄-相关等因素。
HP:0000262	尖头畸形	头的长度相对于宽度更长。
HP:0000263	尖头畸形	尖头畸形（希腊oxus尖锐，kephalos头）是指头颅呈锥形或尖形。
HP:0000264	乳突异常	乳突的异常。乳突指从颞骨乳突部底面突出的圆锥形突出。
HP:0000265	乳突炎	
HP:0000267	颅骨不对称	不对称的头颅骨骼
HP:0000268	长头畸形	颅骨形状异常，其特点为前-后直径过长，即头骨从面前到脑后的尺寸过长。头颅指数低于76％。或相对于头部宽度，头部前-后长度显得过长。常由矢状缝的过早关闭导致。
HP:0000269	枕骨突出	枕骨（颅骨后部）的凸度增加
HP:0000270	颅缝闭合延迟	婴儿在出生时通常有两个囟门，菱形前囟在冠状缝和矢状缝交界处，后囟门在枕顶骨的交点。后囟通常出生后第8周闭合，前囟平均出生后18个月闭合。本术语适用于如果超出正常年龄的囟门闭合延迟。
HP:0000271	脸部异常	脸部的异常
HP:0000272	平颧骨	上颌骨颧（前）突发育落后，通过侧面观察和/或触诊来识别。
HP:0000273	面部表情痛苦	
HP:0000274	小脸	面部既短又窄
HP:0000275	脸狭窄	两颧间（脸上部）和下颌角间（脸下部）的宽度低于平均值超过2个标准偏差（客观）;或者脸的上部和下部的宽度显得减小（主观）。
HP:0000276	长脸	面部高度（长度）比平均值高大于2个标准偏差（客观）；或者，面部高度（长度）显得增加（主观）。
HP:0000277	下颌骨异常	下颌骨的任何异常
HP:0000278	下颌后缩	下颌骨后移所导致的一种畸形
HP:0000280	面容粗糙	眉毛，鼻子，嘴唇，嘴，下巴的外观不精细鲜明，通常是因为圆润和厚重的面部特征或伴有或没有皮下和骨组织增厚的皮肤增厚。
HP:0000282	面部水肿	
HP:0000283	宽脸	双颧间（脸上部）和下颌角间（脸下部）宽度的大于平均值2个标准偏差（客观）;或者脸宽度显得增加（主观）。
HP:0000284	眼部异常	
HP:0000286	内眦赘皮	始于上眼睑中部之上，并向下弯覆盖至内眼角前面和侧面的皮肤褶皱。
HP:0000287	面部脂肪组织增加	面部皮下脂肪组织的量增加。
HP:0000288	人中异常	人中的异常
HP:0000289	宽人中	由正上方唇红边缘测得的人中脊之间的距离大于平均值2个标准偏差以上，或人中脊之间的距离显得增加。
HP:0000290	前额异常	前额的异常
HP:0000291	面部脂肪组织异常	
HP:0000292	面部脂肪组织退失	脸上正常的皮下脂肪组织失去。
HP:0000293	脸颊丰满	颧骨与下颌骨之间软组织更加鼓起或圆润。
HP:0000294	前发际低	发际（trichion）和眉间（鼻根上方位于额骨上的最突出的点）的距离在中线上，多于平均值的两个标准偏差。或者，发际和眉间之间距离显得缩小。
HP:0000295	娃娃脸	表现为圆脸形，圆脸颊，短鼻子以及相对较小的下巴的独特面部外观。
HP:0000297	面部肌张力低下	
HP:0000298	面具般面容	缺乏面部表情，常常表现为瞪眼睛和嘴微张。
HP:0000300	卵形脸	稍拉长的椭圆形脸轮廓。
HP:0000301	面部肌肉异常	
HP:0000303	下颌前突畸形	与下颌长度增加相关的下巴异常突出
HP:0000306	下巴异常	下巴的异常。下巴指面下部下唇以下部分，包括下颌中央突出部位。
HP:0000307	尖下巴	由面下部到下巴明显削尖。
HP:0000308	小退缩下颌	下颌骨发育不全的一种形式，指下颌骨向后错位。
HP:0000309	面中部异常	面中部的异常。面中部指区域而不是解剖术语。其范围上至眼眶下缘，下至鼻基。它是由上颌骨（上颌）和颧骨形成。传统上，面中部不包括鼻和前颌骨。
HP:0000311	圆脸	从前方看面部外形较通常圆。
HP:0000315	眼眶区异常	
HP:0000316	眼距过宽	瞳距比平均值大2个标准偏差（或，显得瞳距增加或双眼间隔过宽）。
HP:0000317	面肌纤维颤搐	面肌纤维颤搐是面部肌肉的细微纤丝活动。
HP:0000319	人中扁平	在鼻基与上唇红之间的皮肤表面平坦，没有脊形成。
HP:0000320	鸟样相脸	
HP:0000321	方脸	面部轮廓，如从正面观察，可显示较宽的颜面上部/头颅和颜面下部/下颌骨，外形如一正方形。
HP:0000322	人中短	鼻基与上唇中线红唇的距离低于平均值超过2个标准偏差，或者，鼻基和上唇中线唇红之间的距离显得缩短。
HP:0000324	面部不对称	脸的左侧和右侧之间存在异常的差别。
HP:0000325	三角脸	从正面看，面部轮廓呈三角形，两侧太阳穴处较宽，下巴窄小。
HP:0000326	上颌骨异常	上颌骨的异常
HP:0000327	上颌骨发育不全	上颌骨发育不全。
HP:0000329	面部血管瘤	发生在面部的血管瘤，一种血管内皮细胞的良性肿瘤。
HP:0000331	短下巴	从下唇唇红到下巴最下点的垂直距离减少。
HP:0000336	眶上脊突出	额骨的眉弓轮廓向前和/或向两侧突起增加。
HP:0000337	宽前额	前额宽度或前颞间距大于平均值两个标准偏差（客观）;或前额两侧之间的距离显得增加。
HP:0000338	面具面容	
HP:0000339	拳击面容	粗糙的面部特征让人联想起一个拳击手。
HP:0000340	额头倾斜	额头的前表面倾斜度大于平均值超过2个标准偏差（客观）;或者从侧面观察额头显得过度向后倾斜。
HP:0000341	额头狭窄	前额的宽度或者额颞间距离低于平均值多于两个标准偏差（客观）;或显得狭窄的颞骨间区域（主观）。
HP:0000343	长人中	鼻基及上唇中线之间的距离超过平均值的2个标准偏差，或者鼻基和上唇中线之间的距离显得增加。
HP:0000346	吹口哨面容	一种由于嘴唇不断的收缩导致张口减小的面部畸形，病人的嘴唇看起来像在吹口哨。
HP:0000347	小下颌畸形	下颌骨发育不全。
HP:0000348	额头高	额头高度的异常增加。
HP:0000349	美人尖	两侧前额发际线呈弧形并在中线处略低。
HP:0000350	小额头	异常小的前额。
HP:0000356	外耳异常	在`外耳`的异常（FMA: 52781）。
HP:0000357	耳位异常	耳朵（FMA: 52780）的位置异常。
HP:0000358	后旋耳	一种耳位置异常（===HP:0000357===），耳朵位置的特征为向后旋转（耳朵的上部向头部的背面旋转，耳朵的下部向前方旋转）。
HP:0000359	内耳异常	“内耳”(FMA:60909)的异常。
HP:0000360	耳鸣	耳鸣是一种没有外部声刺激却出现的声音相关的听觉体验，这种体验常位于耳朵或头颅中。
HP:0000361	搏动性耳鸣（鼓室副神经节瘤）	鼓室副神经节瘤（一种中耳良性肿瘤）相关的搏动性耳鸣。
HP:0000362	耳硬化症	在耳硬化症中，不正常的骨组织在镫骨及其周围聚集造成镫骨部分固定。这限制了镫骨运动从而导致耳聋。
HP:0000363	耳垂异常	在`pinna`的小叶的异常（FMA: 60984）。
HP:0000364	听力异常	“声音感官知觉”(GO:0007605)的异常。
HP:0000365	听力障碍	“声音感官知觉”(GO:0007605)的“明显下降”(PATO:0002018)。
HP:0000366	鼻异常	鼻子的异常
HP:0000368	低位后旋转耳	耳朵低置（HP: 0000369）和向后旋转（HP: 0000358）。
HP:0000369	低位耳	耳廓与头皮连接上缘低于眼内眦向后与耳连接的假想水平线。
HP:0000370	中耳异常	“中耳”（FMA: 56513）的异常。
HP:0000371	急性中耳炎	急性中耳炎是中耳的广泛、短暂的疼痛感染。
HP:0000372	耳道异常	“外耳道”(FMA:61734)（也被称为耳道）的异常。
HP:0000375	耳蜗异常	“耳蜗”（FMA: 60201）的异常。
HP:0000376	II型耳蜗分隔不全	耳蜗缺乏蜗轴和筛区，导致囊性外观。这种情况下，前庭也常常呈囊性。
HP:0000377	耳廓异常	其也被称为在耳廓或外耳: 所述`pinna`（56580 FMA）的异常。
HP:0000378	杯状耳	横向的招风耳，缺乏对耳轮的折叠（包含上下脚的缺失）。
HP:0000381	镫骨固定	镫骨（中耳中的镫形小骨或听小骨）固定是指先天性或获得性的镫骨关节强直，其与声音传导机制（外耳道、鼓膜及/或中耳听小骨）障碍导致的传导性听力损失相关。
HP:0000383	耳廓周异常	
HP:0000384	耳前皮赘	耳组织的常带有软骨核心的退化的附属物，仅位于耳廓的前面（耳朵的外部）。
HP:0000385	小耳垂	耳垂体积的减小。
HP:0000387	耳垂缺失	次于耳屏和切迹的肉质非软骨组织的缺失。
HP:0000388	中耳炎	中耳炎症或感染。
HP:0000389	慢性化脓性中耳炎	慢性中耳炎是指中耳流液肿胀，或感染未痊愈导致耳永久性损害。
HP:0000391	耳轮增厚	` “耳轮”(FMA:60992)的“增厚”(PATO:0000591)。
HP:0000394	罗布泊耳	耳上半部分的前下折叠使得三角窝和耳舟的形态不清的形态。
HP:0000395	对耳轮突出	对耳轮（FMA:60995）存在异常突出（PATO:0001482）。
HP:0000396	耳轮过度卷曲	耳轮（FMA: 60992）’卷曲程度超过正常（PATO: 0001910）。即，耳轮边缘过度卷曲由此，游离边缘平行于耳的平面。
HP:0000399	学语前感音神经性听力损失	感音神经性耳聋（===HP:0008538=== ）的一种，先天性（===HP:0003577===）或婴幼儿期发病（===HP:0003593===），即学会语言前发病。
HP:0000400	巨耳畸形	主观判断耳廓长度和宽度明显增加。
HP:0000402	外耳道狭窄	外耳道的异常缩小。
HP:0000403	反复发作型中耳炎	中耳炎易感性增加，表现为中耳炎反复发作。
HP:0000405	传导性听力障碍	“声音振动传导到内耳”（GO: 0055127）的异常，导致“声音的感官知觉障碍”（GO: 0007605）。
HP:0000407	感音神经性耳聋	与“耳蜗神经”(FMA:53431)“功能”(PATO:0001509)“异常”(PATO:0000460)相关的单耳或双耳的“听力损失”类型。
HP:0000408	渐进性感音神经性听力损失	一种进行性下降的（PATO:0001818）感音神经性听力损失（===HP:0000407===）。
HP:0000410	混合性听力损失	
HP:0000411	招风耳	耳朵平面与颞骨乳突部的夹角大于第97百分位数年龄（目标），或者乳突处耳轮外缘的最大距离（目标）点超过2厘米。
HP:0000413	外耳道闭锁	外耳道缺陷或未形成。
HP:0000414	蒜头鼻	鼻子前下方呈球形形状且体积增加
HP:0000415	鼻后孔的异常	鼻后孔（鼻后部的开孔）的异常。
HP:0000417	鼻子细长	鼻子异常细且长。
HP:0000418	鼻脊狭窄	鼻脊宽度减小。
HP:0000419	鼻中隔异常	鼻中隔的异常
HP:0000420	鼻中隔短小	鼻中隔上下缘之间距离缩小。
HP:0000421	鼻衄	鼻出血，是指鼻子流血
HP:0000422	鼻梁异常	鼻梁的异常。鼻梁即鼻的凹陷区域包括鼻根和鼻侧面。它位于眉间和鼻骨下边界之间并侧伸至内眼角。
HP:0000426	鼻梁突出	鼻根部向前突出。
HP:0000429	鼻翼异常	鼻翼的异常
HP:0000430	鼻翼发育不全	鼻翼较薄、缺如或过度高拱
HP:0000431	宽鼻梁	鼻梁（形成鼻根）的宽度增加。
HP:0000433	鼻粘膜异常	
HP:0000434	鼻粘膜毛细血管扩张	鼻粘膜的毛细血管扩张
HP:0000436	鼻尖异常	鼻尖的异常
HP:0000437	鼻尖凹陷	鼻尖到鼻基的间距减小。
HP:0000444	凸鼻嵴	鼻脊向连接鼻根和鼻尖的假想线之前弯曲。鼻子经常会同时显得突出和鼻小柱低
