身高异常	HP:0000002
肾小球形态异常	HP:0000095
肾小球硬化	HP:0000096
局灶节段性肾小球硬化	HP:0000097
高身材	HP:0000098
肾小球肾炎	HP:0000099
肾病综合征	HP:0000100
多尿	HP:0000103
肾缺如	HP:0000104
肾脏肿大	HP:0000105
肾囊肿	HP:0000107
肾皮髓质交界处囊肿	HP:0000108
肾发育不良	HP:0000110
肾小球球旁细胞肥大/增生	HP:0000111
肾病	HP:0000112
多囊肾性发育不良	HP:0000113
近端肾小管病	HP:0000114
肾源性磷酸盐流失	HP:0000117
表型异常	HP:0000118
泌尿生殖系统异常	HP:0000119
肾钙质沉着症	HP:0000121
单侧肾缺如	HP:0000122
肾炎	HP:0000123
肾小管功能障碍	HP:0000124
盆腔肾	HP:0000125
肾积水	HP:0000126
肾源性盐流失	HP:0000127
肾源性钾流失	HP:0000128
子宫异常	HP:0000130
子宫肌瘤	HP:0000131
月经过多症	HP:0000132
性腺发育不全	HP:0000133
女性性腺功能减退症	HP:0000134
性腺功能减退症	HP:0000135
双角子宫	HP:0000136
卵巢异常	HP:0000137
卵巢囊肿	HP:0000138
子宫脱垂	HP:0000139
月经周期异常	HP:0000140
闭经	HP:0000141
阴道形态异常	HP:0000142
直肠阴道瘘	HP:0000143
生育能力下降	HP:0000144
阴道横膈	HP:0000145
多囊卵巢	HP:0000147
阴道闭锁	HP:0000148
卵巢性腺母细胞瘤	HP:0000149
性腺母细胞瘤	HP:0000150
子宫发育不全	HP:0000151
头颈部异常	HP:0000152
嘴部异常	HP:0000153
宽嘴	HP:0000154
口腔溃疡	HP:0000155
舌异常	HP:0000157
巨舌症	HP:0000158
唇形态异常	HP:0000159
小口畸形	HP:0000160
正中唇裂	HP:0000161
舌后坠	HP:0000162
口腔形态异常	HP:0000163
牙列异常	HP:0000164
重度牙周炎	HP:0000166
牙龈异常	HP:0000168
牙龈纤维瘤病	HP:0000169
小舌畸形	HP:0000171
悬雍垂形态异常	HP:0000172
腭形态异常	HP:0000174
腭裂	HP:0000175
黏膜下硬裂腭	HP:0000176
上唇异常	HP:0000177
下唇异常	HP:0000178
厚下红唇	HP:0000179
分叶舌	HP:0000180
舌头运动异常	HP:0000182
舌活动困难	HP:0000183
软腭裂	HP:0000185
宽牙槽嵴	HP:0000187
上唇短小	HP:0000188
上腭狭窄	HP:0000189
口腔系带形态异常	HP:0000190
额外口腔系带	HP:0000191
悬雍垂裂	HP:0000193
闭口不能	HP:0000194
下唇凹陷	HP:0000196
腮腺形态异常	HP:0000197
无腮腺导管	HP:0000198
舌结节	HP:0000199
舌系带过短	HP:0000200
皮埃尔 - 罗宾序列征	HP:0000201
口裂	HP:0000202
上唇裂	HP:0000204
撅起的嘴唇	HP:0000205
舌炎	HP:0000206
三角嘴	HP:0000207
张口受限	HP:0000211
牙龈增生	HP:0000212
唇部毛细血管扩张	HP:0000214
厚上红唇	HP:0000215
宽恒牙槽嵴	HP:0000216
口腔干燥	HP:0000217
高腭	HP:0000218
薄上唇红	HP:0000219
腭咽机能不全	HP:0000220
沟裂舌	HP:0000221
牙龈角化过度	HP:0000222
味觉异常	HP:0000223
味觉减退	HP:0000224
牙龈出血	HP:0000225
舌毛细血管扩张	HP:0000227
口腔毛细管扩张	HP:0000228
牙龈炎	HP:0000230
下唇唇红外翻	HP:0000232
下红唇薄	HP:0000233
头部异常	HP:0000234
囟门或颅缝异常	HP:0000235
前囟异常	HP:0000236
小前囟	HP:0000237
脑积水	HP:0000238
大囟门	HP:0000239
颅骨大小异常	HP:0000240
顶骨隆起	HP:0000242
三角头畸形	HP:0000243
短尖头畸形	HP:0000244
副鼻窦形态异常	HP:0000245
鼻窦炎	HP:0000246
短头畸形	HP:0000248
颅盖骨密度过高	HP:0000250
小头畸形	HP:0000252
渐进性小头畸形	HP:0000253
急性鼻窦炎	HP:0000255
巨头畸形	HP:0000256
前囟增宽	HP:0000260
尖头畸形	HP:0000262
锥形头	HP:0000263
乳突异常	HP:0000264
乳突炎	HP:0000265
颅骨不对称	HP:0000267
长头畸形	HP:0000268
枕骨突出	HP:0000269
颅缝闭合延迟	HP:0000270
脸部异常	HP:0000271
颧骨扁平	HP:0000272
面部表情痛苦	HP:0000273
小脸	HP:0000274
脸狭窄	HP:0000275
长脸	HP:0000276
下颌骨异常	HP:0000277
下颌后缩	HP:0000278
面容粗糙	HP:0000280
面部水肿	HP:0000282
宽脸	HP:0000283
内眦赘皮	HP:0000286
面部脂肪组织增多	HP:0000287
人中异常	HP:0000288
宽人中	HP:0000289
前额异常	HP:0000290
面部脂肪组织异常	HP:0000291
面部脂肪组织丢失	HP:0000292
脸颊丰满	HP:0000293
前发际低	HP:0000294
娃娃脸	HP:0000295
面部肌张力低下	HP:0000297
面具样面容	HP:0000298
卵形脸	HP:0000300
面部肌肉异常	HP:0000301
下颌前突	HP:0000303
下巴异常	HP:0000306
尖下巴	HP:0000307
下颌小且后移	HP:0000308
面中部异常	HP:0000309
圆脸	HP:0000311
眼眶异常	HP:0000315
眼距过宽	HP:0000316
面肌颤搐	HP:0000317
人中扁平	HP:0000319
鸟样面相	HP:0000320
方脸	HP:0000321
人中短	HP:0000322
面部不对称	HP:0000324
三角脸	HP:0000325
上颌骨异常	HP:0000326
上颌骨发育不全	HP:0000327
面部血管瘤	HP:0000329
短下巴	HP:0000331
眶上嵴突出	HP:0000336
宽前额	HP:0000337
面具样面容	HP:0000338
拳击手面容	HP:0000339
额头倾斜	HP:0000340
额头狭窄	HP:0000341
长人中	HP:0000343
吹口哨面容	HP:0000346
小下颌	HP:0000347
额头高	HP:0000348
美人尖	HP:0000349
小额头	HP:0000350
外耳异常	HP:0000356
耳位异常	HP:0000357
后旋耳	HP:0000358
内耳异常	HP:0000359
耳鸣	HP:0000360
耳硬化症	HP:0000362
耳垂异常	HP:0000363
听力异常	HP:0000364
听力障碍	HP:0000365
鼻异常	HP:0000366
低位后旋转耳	HP:0000368
低位耳	HP:0000369
中耳异常	HP:0000370
急性中耳炎	HP:0000371
耳道异常	HP:0000372
耳蜗异常	HP:0000375
II型耳蜗分隔不全	HP:0000376
耳廓异常	HP:0000377
杯状耳	HP:0000378
镫骨固定	HP:0000381
耳周区异常	HP:0000383
耳前皮赘	HP:0000384
小耳垂	HP:0000385
耳垂缺失	HP:0000387
中耳炎	HP:0000388
慢性中耳炎	HP:0000389
耳轮增厚	HP:0000391
垂耳	HP:0000394
对耳轮突出	HP:0000395
耳轮过度卷曲	HP:0000396
学语前感音神经性听力损失	HP:0000399
巨耳畸形	HP:0000400
外耳道狭窄	HP:0000402
反复发作型中耳炎	HP:0000403
传导性听力障碍	HP:0000405
感音神经性耳聋	HP:0000407
渐进性感音神经性听力损失	HP:0000408
混合性听力损失	HP:0000410
招风耳	HP:0000411
外耳道闭锁	HP:0000413
蒜头鼻	HP:0000414
鼻后孔的异常	HP:0000415
鼻细长	HP:0000417
鼻脊狭窄	HP:0000418
鼻中隔异常	HP:0000419
鼻中隔短小	HP:0000420
鼻衄	HP:0000421
鼻梁形态异常	HP:0000422
鼻梁突出	HP:0000426
鼻翼异常	HP:0000429
鼻翼发育不全	HP:0000430
宽鼻梁	HP:0000431
鼻粘膜形态异常	HP:0000433
鼻粘膜毛细血管扩张	HP:0000434
鼻尖异常	HP:0000436
鼻尖凹陷	HP:0000437
凸鼻嵴	HP:0000444
宽鼻	HP:0000445
鼻梁狭窄	HP:0000446
梨形鼻	HP:0000447
鼻前突	HP:0000448
三角鼻尖	HP:0000451
鼻后孔狭窄	HP:0000452
鼻后孔闭锁	HP:0000453
喇叭状鼻孔	HP:0000454
宽鼻尖	HP:0000455
鼻尖裂	HP:0000456
鼻嵴凹陷	HP:0000457
嗅觉丧失	HP:0000458
鼻缩窄	HP:0000460
鼻孔前翻	HP:0000463
颈部异常	HP:0000464
蹼颈	HP:0000465
颈部运动范围受限	HP:0000466
颈肌无力	HP:0000467
颈周脂肪组织增多	HP:0000468
短颈	HP:0000470
胃肠道血管发育不良	HP:0000471
长颈	HP:0000472
斜颈	HP:0000473
颈部皮肤皱襞增厚	HP:0000474
宽颈	HP:0000475
囊状水瘤	HP:0000476
眼部异常	HP:0000478
视网膜形态异常	HP:0000479
视网膜缺损	HP:0000480
角膜形态异常	HP:0000481
小角膜	HP:0000482
散光	HP:0000483
远视散光	HP:0000484
巨角膜	HP:0000485
斜视	HP:0000486
视网膜病变	HP:0000488
眼睛深陷	HP:0000490
角膜炎	HP:0000491
眼睑形态异常	HP:0000492
黄斑中央凹形态异常	HP:0000493
下斜睑裂	HP:0000494
复发性角膜糜烂	HP:0000495
眼球运动异常	HP:0000496
外展时眼球回缩和偏斜	HP:0000497
眼睑炎	HP:0000498
睫毛形态异常	HP:0000499
青光眼	HP:0000501
结膜形态异常	HP:0000502
结膜血管迂曲	HP:0000503
视力异常	HP:0000504
视觉障碍	HP:0000505
内眦距过宽	HP:0000506
上睑下垂	HP:0000508
结膜炎	HP:0000509
杆锥体营养不良	HP:0000510
垂直性核上性凝视麻痹	HP:0000511
视网膜电图异常	HP:0000512
慢扫视眼球运动	HP:0000514
晶状体异常	HP:0000517
白内障	HP:0000518
发育性白内障	HP:0000519
眼球突出	HP:0000520
无泪	HP:0000522
囊膜下白内障	HP:0000523
结膜毛细血管扩张	HP:0000524
虹膜形态异常	HP:0000525
无虹膜	HP:0000526
长睫毛	HP:0000527
无眼畸形	HP:0000528
进行性视力下降	HP:0000529
角膜结晶	HP:0000531
脉络膜视网膜形态异常	HP:0000532
脉络膜视网膜萎缩	HP:0000533
眉毛形态异常	HP:0000534
稀疏且细的眉毛	HP:0000535
内眦赘皮倒转	HP:0000537
假性视乳头水肿	HP:0000538
屈光异常	HP:0000539
远视	HP:0000540
视网膜脱离	HP:0000541
眼内收障碍	HP:0000542
视盘苍白	HP:0000543
眼外肌麻痹	HP:0000544
近视	HP:0000545
视网膜变性	HP:0000546
锥杆细胞营养不良	HP:0000548
眼球共轭运动异常	HP:0000549
视网膜电流图熄灭型	HP:0000550
色觉缺陷	HP:0000551
蓝色弱	HP:0000552
葡萄膜形态异常	HP:0000553
葡萄膜炎	HP:0000554
白瞳症	HP:0000555
视网膜营养不良	HP:0000556
爆裂眼	HP:0000557
Rieger综合征	HP:0000558
角膜瘢痕	HP:0000559
睫毛缺失	HP:0000561
圆锥角膜	HP:0000563
泪道闭锁	HP:0000564
内斜视	HP:0000565
脉络膜视网膜缺损	HP:0000567
小眼症	HP:0000568
眼球扫视运动异常	HP:0000570
扫视不到位	HP:0000571
视网膜出血	HP:0000573
眉毛浓密	HP:0000574
盲点	HP:0000575
中央盲点	HP:0000576
外斜视	HP:0000577
鼻泪管阻塞	HP:0000579
色素性视网膜病	HP:0000580
眼睑裂狭小	HP:0000581
睑裂上斜	HP:0000582
点状角膜上皮糜烂	HP:0000584
带状角膜病	HP:0000585
浅眼眶	HP:0000586
视神经异常	HP:0000587
视盘缺损	HP:0000588
眼球缺损	HP:0000589
进行性眼外肌麻痹	HP:0000590
巩膜异常	HP:0000591
蓝巩膜	HP:0000592
前房形态异常	HP:0000593
浅前房	HP:0000594
眼肌瘫痪	HP:0000597
耳部异常	HP:0000598
前额发际线异常	HP:0000599
咽部异常	HP:0000600
眼距过窄	HP:0000601
眼肌麻痹	HP:0000602
中心暗点	HP:0000603
核上性凝视麻痹	HP:0000605
眶周畸形	HP:0000606
眶周皱纹	HP:0000607
黄斑变性	HP:0000608
视神经发育不全	HP:0000609
脉络膜形态异常	HP:0000610
虹膜缺损	HP:0000612
畏光	HP:0000613
鼻泪管系统的异常	HP:0000614
瞳孔形态异常	HP:0000615
瞳孔缩小	HP:0000616
眼部平稳跟踪异常	HP:0000617
失明	HP:0000618
辐凑受损	HP:0000619
泪囊炎	HP:0000620
眼睑内翻	HP:0000621
视力模糊	HP:0000622
核上性眼肌麻痹	HP:0000623
眼睑缺损	HP:0000625
后胚胎环	HP:0000627
眶周丰满	HP:0000629
视网膜动脉形态异常	HP:0000630
视网膜动脉迂曲	HP:0000631
泪液分泌异常	HP:0000632
泪液分泌减少	HP:0000633
眼外展障碍	HP:0000634
蓝色虹膜	HP:0000635
上眼睑缺损	HP:0000636
睑裂增宽	HP:0000637
眼球震颤	HP:0000639
凝视诱发眼震	HP:0000640
不规则扫视	HP:0000641
红绿色觉障碍	HP:0000642
眼睑痉挛	HP:0000643
弱视	HP:0000646
角膜巩膜化	HP:0000647
视神经萎缩	HP:0000648
视觉诱发电位异常	HP:0000649
图形视觉诱发电位振幅异常	HP:0000650
复视	HP:0000651
下眼睑缺损	HP:0000652
睫毛稀疏	HP:0000653
光和暗适应视网膜电图振幅降低	HP:0000654
睑外翻	HP:0000656
眼球运动失用	HP:0000657
眼睑失用症	HP:0000658
Peters 综合征	HP:0000659
视网膜脂血症	HP:0000660
睑裂内收狭窄	HP:0000661
夜盲症	HP:0000662
连眉	HP:0000664
水平眼震	HP:0000666
眼萎缩	HP:0000667
缺牙症	HP:0000668
龋齿	HP:0000670
无牙畸形	HP:0000674
上颌恒中切牙巨齿	HP:0000675
切牙异常	HP:0000676
少牙畸形	HP:0000677
牙列拥挤	HP:0000678
牙髓腔增大	HP:0000679
乳牙萌出延迟	HP:0000680
牙釉质形态异常	HP:0000682
灰色牙釉质	HP:0000683
牙齿萌出延迟	HP:0000684
牙齿发育不全	HP:0000685
牙间隙增宽	HP:0000687
牙齿错位咬合	HP:0000689
上颌侧切牙发育不全	HP:0000690
小牙畸形	HP:0000691
牙列不齐	HP:0000692
空壳牙	HP:0000694
胎生牙齿	HP:0000695
恒牙萌出延迟	HP:0000696
锥状齿	HP:0000698
牙间隙	HP:0000699
根尖周的骨质流失	HP:0000700
牙本质发育不全	HP:0000703
牙周炎	HP:0000704
牙釉质生长不全	HP:0000705
牙萌出失败	HP:0000706
神经系统异常	HP:0000707
行为异常	HP:0000708
精神病	HP:0000709
口欲亢进	HP:0000710
坐立不安	HP:0000711
情绪不稳	HP:0000712
焦虑不安	HP:0000713
抑郁	HP:0000716
孤独症	HP:0000717
攻击性行为	HP:0000718
不适宜行为	HP:0000719
情绪波动	HP:0000720
自发性游戏缺乏	HP:0000721
强迫行为	HP:0000722
限制性行为	HP:0000723
精神病发作	HP:0000725
痴呆	HP:0000726
额叶痴呆	HP:0000727
同伴关系建立能力障碍	HP:0000728
自闭症行为	HP:0000729
恪守程序或习惯	HP:0000732
刻板性	HP:0000733
脱抑制	HP:0000734
社会交往障碍	HP:0000735
注意力短暂	HP:0000736
易激惹	HP:0000737
幻觉	HP:0000738
焦虑	HP:0000739
情景性阵发性焦虑	HP:0000740
情感淡漠	HP:0000741
自残	HP:0000742
额叶释放征象	HP:0000743
低挫折承受力	HP:0000744
动机减弱	HP:0000745
妄想	HP:0000746
不适宜的发笑	HP:0000748
阵发性大笑	HP:0000749
语言发育迟缓	HP:0000750
性格改变	HP:0000751
多动症	HP:0000752
具有高认知能力的自闭症	HP:0000753
广场恐怖症	HP:0000756
自知力缺乏	HP:0000757
非言语行为应用障碍	HP:0000758
周围神经系统形态异常	HP:0000759
神经传导速度降低	HP:0000762
感觉神经病	HP:0000763
外围神经轴索变性	HP:0000764
胸廓形态异常	HP:0000765
胸骨形态异常	HP:0000766
漏斗胸	HP:0000767
鸡胸	HP:0000768
乳房异常	HP:0000769
男子女性乳房发育	HP:0000771
肋骨异常	HP:0000772
短肋	HP:0000773
窄胸	HP:0000774
膈肌异常	HP:0000775
先天性膈疝	HP:0000776
胸腺异常	HP:0000777
胸腺发育不全	HP:0000778
肩胛骨形态异常	HP:0000782
原发性闭经	HP:0000786
肾结石	HP:0000787
不孕症/不育症	HP:0000789
血尿	HP:0000790
肾尿酸结石	HP:0000791
膜增生性肾小球肾炎	HP:0000793
肾小球IgA沉积	HP:0000794
尿道异常	HP:0000795
尿道梗阻	HP:0000796
少精症	HP:0000798
肾脂肪变性	HP:0000799
囊性肾发育不良	HP:0000800
阳痿	HP:0000802
肾皮质囊肿	HP:0000803
肾黄嘌呤结石	HP:0000804
遗尿症	HP:0000805
阴茎头型尿道下裂	HP:0000807
阴茎阴囊型尿道下裂	HP:0000808
尿道闭锁	HP:0000809
外生殖器异常	HP:0000811
内生殖器异常	HP:0000812
双角子宫	HP:0000813
高促性腺激素性性腺功能减退症	HP:0000815
Krebs循环代谢异常	HP:0000816
眼神躲避	HP:0000817
内分泌系统异常	HP:0000818
糖尿病	HP:0000819
甲状腺异常	HP:0000820
甲状腺功能减退症	HP:0000821
高血压	HP:0000822
青春期发育延迟	HP:0000823
对生长激素刺激试验的反应降低	HP:0000824
高胰岛素性低血糖	HP:0000825
性早熟	HP:0000826
甲状旁腺异常	HP:0000828
甲状旁腺功能减退症	HP:0000829
垂体前叶功能减退症	HP:0000830
胰岛素抵抗性糖尿病	HP:0000831
原发性甲状腺功能减退症	HP:0000832
肾上腺异常	HP:0000834
肾上腺发育不良	HP:0000835
甲状腺功能亢进症	HP:0000836
促性腺激素水平升高	HP:0000837
垂体性侏儒症	HP:0000839
肾上腺性征异常综合征	HP:0000840
肾素-血管紧张素系统亢进	HP:0000841
高胰岛素血症	HP:0000842
甲状旁腺功能亢进症	HP:0000843
生长激素水平升高	HP:0000845
肾上腺功能不全	HP:0000846
肾素-血管紧张素系统异常	HP:0000847
血肾素水平升高	HP:0000848
肾上腺皮质异常	HP:0000849
先天性甲状腺功能减退症	HP:0000851
假性甲状旁腺功能减退症	HP:0000852
甲状腺肿	HP:0000853
甲状腺腺瘤	HP:0000854
胰岛素抵抗	HP:0000855
新生儿胰岛素依赖性糖尿病	HP:0000857
月经不调	HP:0000858
醛固酮增多症	HP:0000859
甲状旁腺发育不全	HP:0000860
中枢性尿崩症	HP:0000863
下丘脑-垂体轴异常	HP:0000864
甲状腺功能正常结节性甲状腺肿	HP:0000866
继发性甲状旁腺功能亢进症	HP:0000867
女性生育能力降低	HP:0000868
继发性闭经	HP:0000869
泌乳素水平升高	HP:0000870
全垂体功能减退	HP:0000871
桥本甲状腺炎	HP:0000872
尿崩症	HP:0000873
阵发性高血压	HP:0000875
月经稀发	HP:0000876
青春期胰岛素抵抗性糖尿病	HP:0000877
11对肋骨	HP:0000878
短胸骨	HP:0000879
肩胛骨发育不全	HP:0000882
瘦小肋骨	HP:0000883
胸骨突出	HP:0000884
宽肋骨	HP:0000885
胸廓变形	HP:0000886
杯状肋骨端	HP:0000887
横位肋骨	HP:0000888
锁骨形态异常	HP:0000889
长锁骨	HP:0000890
颈肋	HP:0000891
肋骨端分叉	HP:0000892
肋软骨交界处隆起	HP:0000893
短锁骨	HP:0000894
锁骨外侧钩	HP:0000895
肋骨外生骨疣	HP:0000896
佝偻病念珠	HP:0000897
肋骨增厚	HP:0000900
肋骨融合	HP:0000902
喇叭状胸廓	HP:0000904
锁骨远端进行性骨吸收	HP:0000905
杯状前肋	HP:0000907
宽杯状的肋软骨交界处	HP:0000910
关节窝浅平	HP:0000911
先天性肩胛骨向上移位（Sprengel畸形）	HP:0000912
肋骨后端融合	HP:0000913
盾状胸	HP:0000914
下段漏斗胸	HP:0000915
锁骨增宽	HP:0000916
上段鸡胸	HP:0000917
肩胛外生骨疣	HP:0000918
肋软骨交界处异常	HP:0000919
肋软骨交界处膨大	HP:0000920
肋骨缺失	HP:0000921
杯状后肋	HP:0000922
串珠肋	HP:0000923
骨骼系统异常	HP:0000924
脊柱异常	HP:0000925
扁平椎	HP:0000926
骨骼成熟异常	HP:0000927
颅骨形态异常	HP:0000929
横窦压迹抬高	HP:0000930
后颅窝骨骼变薄并突起	HP:0000931
后颅窝形态异常	HP:0000932
后颅窝第四脑室囊肿	HP:0000933
软骨钙质沉着症	HP:0000934
长骨骨皮质增厚	HP:0000935
骨质减少	HP:0000938
骨质疏松	HP:0000939
骨干形态异常	HP:0000940
短骨干	HP:0000941
多发性骨发育不全	HP:0000943
干骺端异常	HP:0000944
髂骨发育不全	HP:0000946
哑铃状长骨	HP:0000947
皮肤异常	HP:0000951
黄疸	HP:0000952
皮肤色素沉着	HP:0000953
单独掌横纹	HP:0000954
黑棘皮病	HP:0000956
牛奶咖啡斑	HP:0000957
干性皮肤	HP:0000958
骶骨浅窝	HP:0000960
紫绀	HP:0000961
角化过度	HP:0000962
皮肤变薄	HP:0000963
湿疹	HP:0000964
大理石样皮肤	HP:0000965
少汗症	HP:0000966
瘀点	HP:0000967
外胚层发育不良	HP:0000968
水肿	HP:0000969
无汗症	HP:0000970
汗腺异常	HP:0000971
掌跖角化	HP:0000972
皮肤松弛症	HP:0000973
皮肤过度伸展	HP:0000974
多汗症	HP:0000975
湿疹样皮炎	HP:0000976
皮肤柔软	HP:0000977
瘀斑易感性	HP:0000978
紫癜	HP:0000979
苍白圈	HP:0000980
掌跖角化症	HP:0000982
非典型皮肤瘢痕	HP:0000987
皮疹	HP:0000988
瘙痒	HP:0000989
黄瘤病	HP:0000991
光感性皮肤	HP:0000992
软假瘤	HP:0000993
黑素细胞痣	HP:0000995
面部毛细血管瘤	HP:0000996
腋窝雀斑	HP:0000997
多毛症	HP:0000998
脓皮病	HP:0000999
皮肤着色异常	HP:0001000
皮下脂肪组织异常	HP:0001001
多发性雀斑样痣	HP:0001003
淋巴水肿	HP:0001004
系统性疾病的皮肤表现	HP:0001005
多毛症；女性多毛症	HP:0001007
黑素细胞中黑素小体聚集	HP:0001008
毛细血管扩张	HP:0001009
皮肤色素减退	HP:0001010
多发性脂肪瘤	HP:0001012
发疹性黄瘤	HP:0001013
血管角皮瘤	HP:0001014
浅表静脉隆凸	HP:0001015
贫血性白斑	HP:0001017
手掌皮纹异常	HP:0001018
剥脱性皮炎	HP:0001019
白化病	HP:0001022
长骨角顶点处的皮肤酒窝征	HP:0001024
荨麻疹	HP:0001025
足部穿通性溃疡	HP:0001026
面团样柔性皮肤	HP:0001027
血管瘤	HP:0001028
皮肤异色症	HP:0001029
敏感性皮肤	HP:0001030
皮下脂肪瘤	HP:0001031
远端指间关节皮肤皱褶缺如	HP:0001032
酒后面部潮红	HP:0001033
色素沉着斑	HP:0001034
角化不全	HP:0001036
华法林诱导性皮肤坏死	HP:0001038
粥样发疹性黄瘤	HP:0001039
多发翼状胬肉	HP:0001040
面部红斑	HP:0001041
高位轴三角掌纹	HP:0001042
头皮静脉隆凸	HP:0001043
白癜风	HP:0001045
间歇性黄疸	HP:0001046
特应性皮炎	HP:0001047
海绵状血管瘤	HP:0001048
受累关节背面皮肤皱褶缺如	HP:0001049
多血症（红细胞增多症）	HP:0001050
脂溢性皮炎	HP:0001051
鲜红斑痣	HP:0001052
皮肤色素减退斑	HP:0001053
多发性色素痣	HP:0001054
丹毒	HP:0001055
粟丘疹	HP:0001056
先天性表皮发育不全	HP:0001057
伤口愈合不良	HP:0001058
翼状胬肉	HP:0001059
腋窝翼状赘肉	HP:0001060
痤疮	HP:0001061
非典型痣（&gt;5毫米且有不规则的边缘及色素沉着）	HP:0001062
手足发绀	HP:0001063
萎缩纹	HP:0001065
神经纤维瘤	HP:0001067
发作性多汗症	HP:0001069
斑驳病	HP:0001070
弥漫性血管角皮瘤	HP:0001071
皮肤增厚	HP:0001072
卷烟纸样瘢痕	HP:0001073
非曝露部位不典型痣	HP:0001074
萎缩性瘢痕	HP:0001075
眉间血管瘤	HP:0001076
胆道异常	HP:0001080
胆石症	HP:0001081
胆囊炎	HP:0001082
晶状体异位	HP:0001083
角膜环	HP:0001084
视乳头水肿	HP:0001085
发育性青光眼	HP:0001087
Brushfield点	HP:0001088
虹膜萎缩	HP:0001089
大眼球	HP:0001090
泪小点缺失	HP:0001092
视神经发育不良	HP:0001093
虹膜睫状体炎	HP:0001094
高血压性视网膜病变	HP:0001095
角膜结膜炎	HP:0001096
干燥性角结膜炎	HP:0001097
眼底形态异常	HP:0001098
眼底萎缩	HP:0001099
虹膜异色	HP:0001100
虹膜炎	HP:0001101
眼底血管样条纹	HP:0001102
黄斑形态异常	HP:0001103
黄斑发育不良	HP:0001104
视网膜萎缩	HP:0001105
眼眶周围色素沉着	HP:0001106
眼白化病	HP:0001107
Leber视神经萎缩	HP:0001112
睑黄瘤	HP:0001114
后极性白内障	HP:0001115
黄斑缺损	HP:0001116
突发性视力丧失	HP:0001117
青少年型白内障	HP:0001118
球形角膜	HP:0001119
角膜大小异常	HP:0001120
视野缺损	HP:0001123
一过性视物模糊	HP:0001125
隐眼	HP:0001126
倒睫	HP:0001128
中央大视野缺损	HP:0001129
角膜营养不良	HP:0001131
晶状体半脱位	HP:0001132
周边性视野狭窄	HP:0001133
前极白内障	HP:0001134
脉络膜视网膜营养不良	HP:0001135
视网膜小动脉迂曲	HP:0001136
交替性内斜视	HP:0001137
视神经病变	HP:0001138
无脉络膜症	HP:0001139
角膜缘皮样囊肿	HP:0001140
视力严重下降	HP:0001141
圆锥形晶状体	HP:0001142
眼眶囊肿	HP:0001144
视网膜渗出	HP:0001147
格子样角膜营养不良	HP:0001149
水平平滑追随眼动受损	HP:0001151
扫视平滑追视	HP:0001152
阴道纵膈	HP:0001153
手异常	HP:0001155
短指（趾）	HP:0001156
并指（趾）畸形	HP:0001159
多指	HP:0001161
轴后多指畸形	HP:0001162
掌骨异常	HP:0001163
细长指(趾)	HP:0001166
